# Секція категорій — можна редагувати в Excel
id,назва,emoji,порядок
protein,"Протеїни",🥛,1
gainer,"Гейнери",🏋️,2
creatine,"Креатин",⚡,3
amino,"Амінокислоти / BCAA",🧬,4
preworkout,"Передтренувальні",🔥,5
vitamins,"Вітаміни / мінерали",💊,6
fatburner,"Жироспалювачі",🔥,8
accessories,"Аксесуари",🥤,9
isotonic,"Ізотоніки",🧃,11
adaptogeny,"Адаптогени",📦,14
omega-3-ta-zhyrni-kyslot,"Омега-3 та жирні кислоти",📦,17
son-i-nervova-systema,"Сон і нервова система",📦,20
zdorovya-ta-vidnovlennya,"Здоров'я та відновлення",📦,21
krasa-i-zdorovya-shkiry-,"Краса і здоров'я шкіри, нігтів, волосся",📦,22
dlya-mozku,"Для мозку",📦,25
zdorovya-suglobiv-i-zvya,"Здоров’я суглобів і зв’язок",📦,26
nad,"NAD+",📦,28
dlya-pechinky,"Для печінки",📦,29
dlya-shlunku-ta-probioty,"Для шлунку та пробіотики",📦,30
protyzapalni-kompleksy,"Протизапальні комплекси",📦,31
gormonalna-pidtrymka,"Гормональна підтримка",📦,32
dlya-pidtrymky-sertsya-i,"Для підтримки серця і кровообігу",📦,33

# Секція товарів — можна редагувати в Excel
# Колонка E (собівартість) — для власного аналізу маржі, каса її ігнорує
id,категорія,назва,кількість,собівартість,ціна продажу
1752,dlya-shlunku-ta-probioty,"Ацидофільний пробіотик, Nature's Truth, Daily Probiotic Acidophilus (500 million CFU)- 100 капсул",20,,410
1759,dlya-shlunku-ta-probioty,"Покращений пробіотик, Nature's Truth, One Daily Advanced Probiotic-14 (3 billion CFU) - 60 капсул",20,,650
1763,vitamins,"Ліпосомальний кальцій альфа-кетоглутарат, Ajaxerrue, Liposomal Calcium AKG 1500 мг - 60 капсул",20,,1180
1822,creatine,"Креатин моногідрат, Nutrex Research, Creatine Monohydrate - 300 грам",20,,800
1825,preworkout,"Передтренувальний комплекс (без кофеїну), EVLution Nutrition, PumpMode (блакитна малина) - 258 грам",20,,1200
1830,dlya-pechinky,"Лецитин соняшниковий, Swanson, Sunflower Lecithin - 90 капсул",20,,750
1836,zdorovya-ta-vidnovlennya,"Ресвератрол (транс-ресвератрол 50%) Research Labs Resveratrol 600 мг - 60 капсул",20,,750
1837,zdorovya-ta-vidnovlennya,"Транс-ресвератрол (98% чистий), Doctor's Best, Trans-Resveratrol 600 мг - 60 капсул",20,,2500
1842,vitamins,"Селен, Swanson, Albion, Selenium Complex 200 мкг - 90 капсул",20,,230
1848,protein,"Сироватковий протеїн концентрат, Blade Sport , Whey Protein - 2270 грам",20,,2500
